"","AlignID","tmean","FoundIn","Name.1","MatchFactor.1","DB.Id.1","CAS.1","Formula.1","Name.2","MatchFactor.2","DB.Id.2","CAS.2","Formula.2","Name.3","MatchFactor.3","DB.Id.3","CAS.3","Formula.3","Name.4","MatchFactor.4","DB.Id.4","CAS.4","Formula.4","Name.5","MatchFactor.5","DB.Id.5","CAS.5","Formula.5","Name.6","MatchFactor.6","DB.Id.6","CAS.6","Formula.6","Name.7","MatchFactor.7","DB.Id.7","CAS.7","Formula.7","Name.8","MatchFactor.8","DB.Id.8","CAS.8","Formula.8","Name.9","MatchFactor.9","DB.Id.9","CAS.9","Formula.9","Name.10","MatchFactor.10","DB.Id.10","CAS.10","Formula.10","Cory_Mreu_Rep1_6262023_32","Cory_Mreu_Rep2_6262023_33","Strl_Rep1_6302023_20","Strl_Rep1_6302023_14","VialBlank_6262023_31"
"1",1,0.1137,27,"Carbon dioxide","99.81","    75","124389","CO2","Nitrous oxide","99.81","    76","10024972","N2O","Nitrous oxide","99.81","    77","10024972","N2O","Carbon dioxide","99.80","    74","124389","CO2","Carbamic acid, monoammonium salt","99.80","   927","1111780","CH6N2O2","dl-Alanyl-dl-leucine","99.80"," 55369","1999424","C9H18N2O3","(S)-(+)-1-Cyclohexylethylamine","99.79"," 10824","17430987","C8H17N","l-Alanine ethylamide, (S)-","99.79","  7346","71773950","C5H12N2O","Phenylephrine","99.79"," 32544","59427","C9H13NO2","dl-Phenylephrine","99.78"," 32556","1477630","C9H13NO2",0,0,0,0,0
"2",2,0.1533,6,"R-(-)-Cyclohexylethylamine","99.54"," 10809","5913133","C8H17N","(S)-(+)-1-Cyclohexylethylamine","99.53"," 10824","17430987","C8H17N","1-Octanamine, N-methyl-","99.53"," 18386","2439545","C9H21N","n-Hexylmethylamine","99.49","  7241","35161707","C7H17N","Octodrine","99.48"," 11821","543828","C8H19N","2-Hexanamine, 4-methyl-","99.48","  7248","105419","C7H17N","12-Methylaminolauric acid","99.48"," 73944","7408813","C13H27NO2","N-Dodecylmethylamine","99.48"," 53468","1000342261","C13H29N","2-Octanamine","99.47"," 11829","693163","C8H19N","2-Hexanamine, 4-methyl-","99.45","  7243","105419","C7H17N",0,0,0,0,0
"3",3,0.105,2,"Carbon dioxide","99.90","    75","124389","CO2","Nitrous oxide","99.90","    76","10024972","N2O","Nitrous oxide","99.90","    77","10024972","N2O","Carbon dioxide","99.90","    74","124389","CO2","Carbamic acid, monoammonium salt","99.90","   927","1111780","CH6N2O2","Phenylephrine","99.90"," 32544","59427","C9H13NO2","Phenylephrine","99.89"," 32546","59427","C9H13NO2","dl-Phenylephrine","99.89"," 32556","1477630","C9H13NO2","l-Alanine ethylamide, (S)-","99.88","  7346","71773950","C5H12N2O","Phenol, 4-[2-(methylamino)ethyl]-","99.86"," 22498","370989","C9H13NO",0,0,0,0,0
"4",4,0.0083,12,"1-Decanamine","92.75"," 26232","2016571","C10H23N","1-Decanamine","91.99"," 26233","2016571","C10H23N","Heptanal","91.31","  6788","111717","C7H14O","18-Nonadecen-1-amine","91.04","106968","1000221528","C19H39N","1-Octanamine","90.88"," 11828","111864","C8H19N","1-Tetradecanamine","90.76"," 63094","2016424","C14H31N","Heptanal","90.57","  6787","111717","C7H14O","1-Octadecanamine","90.27"," 99396","124301","C18H39N","1-Nonanamine","90.07"," 18381","112209","C9H21N","2-Heptanol","90.03","  7639","543497","C7H16O",30289,29389,0,0,29600
"5",5,0.03,6,"3-Methyl-4-(phenylthio)-2-prop-2-enyl-2,5-dihydrothiophene 1,1-dioxide","86.73","105894","1000305613","C14H16O2S2","Undecanal","86.11"," 34416","112447","C11H22O","Dodecanoic acid, 3-hydroxy-","85.70"," 64647","1883132","C12H24O3","9-Oxabicyclo[6.1.0]nonan-4-ol","85.32"," 17772","69853856","C8H14O2","decanamide, N-[4-[[4-(dimethylamino)phenyl]amino]phenyl]-","84.91","159488","1000398752","C24H35N3O","Dodecanal","84.52"," 43387","112549","C12H24O","3-Phorbinepropanoic acid, 9-acetyl-14-ethyl-13,14-dihydro-4,8,13,18-tetramethyl-20-oxo-, methyl ester","84.36","181987","58559925","C34H38N4O4","Undecanal","83.50"," 34417","112447","C11H22O","Oxirane, 2,2'-(1,4-butanediyl)bis-","83.49"," 17831","2426075","C8H14O2","4-Hexenoic acid, 6-hydroxy-4-methyl-, methyl ester, (E)-","83.33"," 27026","53585958","C8H14O3",0,0,0,0,0
"6",6,0.022,5,"2-Nonenal, (E)-","92.36"," 16889","18829566","C9H16O","2-Decenal, (E)-","92.11"," 24054","3913813","C10H18O","2-Nonenal, (Z)-","91.77"," 16883","60784318","C9H16O","2-Undecanethiol, 2-methyl-","91.04"," 55079","10059139","C12H26S","2-Methylenecyclohexanol","90.43","  5921","4065809","C7H12O","8-Oxabicyclo[5.1.0]octane","90.25","  5960","286453","C7H12O","2-Decenal, (Z)-","90.23"," 24050","2497258","C10H18O","8-Oxabicyclo[5.1.0]octane","90.17","  5965","286453","C7H12O","cis-4-Decenal","90.01"," 24030","21662099","C10H18O","2-Nonenal, (E)-","89.96"," 16890","18829566","C9H16O",0,0,0,0,0
"7",7,0.005,3,"2-(Oxan-3-yl)ethanamine","91.63"," 11745","1000411075","C7H15NO","1-Undecanamine","87.84"," 35036","7307553","C11H25N","2-(4,5-Dihydro-3-methyl-5-oxo-1-phenyl-4-pyrazolyl)-5-nitrobenzoic acid","87.48","154204","20307760","C17H13N5O5","Bicyclo[2.2.1]heptan-2-one, 4,7,7-trimethyl-, semicarbazone","86.98"," 60240","24230793","C11H19N3O","Spiro[2-cyclohexene-1,2'(1'H)-cyclopenta[de]naphthacene]-9'-carboxamide, 7',7'a,8',11',11'a,12'-hexahydro-5',6',7'a,10',11'a,12'-hexahydroxy-3'-methoxy-2,6,6-trimethyl-7',8'-dioxo-, (2'.alpha.,7'a.beta.,11'a.beta.,12'.beta.)-(-)-","86.79","181959","39277413","C30H31NO10","1-Hexanamine, N-hexyl-","86.53"," 44038","143168","C12H27N","2-Heptanamine, 5-methyl-","86.18"," 11853","53907816","C8H19N","Adenine-9-propanoic acid, .alpha.-t-butoxycarbonylamino-","86.07","131887","55387365","C13H18N6O4","1-Hexanamine","85.91","  3821","111262","C6H15N","8-Azabicyclo[4.3.1]decan-10-one, 8-methyl-","85.89"," 32254","4146365","C10H17NO",0,0,0,0,0
"8",8,0.0333,6,"3,8-Dioxatricyclo[5.1.0.0(2,4)]octane, 4-ethenyl-","83.89"," 15812","53966431","C8H10O2","9-Oxabicyclo[6.1.0]nonan-4-one","81.91"," 16708","28399884","C8H12O2","7-Oxabicyclo[4.1.0]heptane, 2-methylene-","81.72","  5342","98126499","C7H10O","Tricyclo[6.3.3.0]tetradec-4-ene,10,13-dioxo-","81.63"," 66042","78046170","C14H18O2","2-Azatricyclo[4.3.1.1(4,8)]undecane","81.59"," 22155","1000362593","C10H17N","3-Nonynoic acid","81.36"," 24874","56630332","C9H14O2","Cyclononene","81.07","  9634","3618119","C9H16","Cyclohexanone, 2-(2-propenyl)-","80.79"," 15938","94666","C9H14O","Butyraldehyde, 4-(methylenecyclopropyl)-","80.78","  9602","1000156865","C8H12O","7-Oxabicyclo[4.1.0]heptane, 3-oxiranyl-","80.60"," 16767","106876","C8H12O2",0,0,17690,15486,0
"9",9,0.0953,46,"1-Heptene, 5-methyl-","96.49","  6095","13151047","C8H16","4-(Prop-2-enoyloxy)octane","96.43"," 43132","42928870","C11H20O2","2-Ethylhexyl acrylate","96.37"," 43117","103117","C11H20O2","4-Decene, 8-methyl-, (E)-","96.18"," 24492","62338505","C11H22","2-Ethylhexyl acrylate","96.03"," 43114","103117","C11H20O2","5-Undecene, 3-methyl-, (E)-","95.57"," 33171","74630674","C12H24","2-Propenoic acid, 6-methylheptyl ester","95.51"," 43208","54774913","C11H20O2","2-Ethylhexyl acrylate","95.30"," 43118","103117","C11H20O2","5-Ethyl-1-nonene","94.99"," 24450","19780746","C11H22","Hexane, 2-methyl-4-methylene-","94.84","  6199","3404806","C8H16",0,0,0,0,21292
"10",10,0.0822,9,"2-Ethylhexyl acrylate","97.10"," 43116","103117","C11H20O2","3-(Prop-2-enoyloxy)tridecane","95.39"," 89795","1000245668","C16H30O2","3-(Prop-2-enoyloxy)pentadecane","95.26","107613","1000245674","C18H34O2","2-(Prop-2-enoyloxy)tridecane","94.77"," 89794","1000245667","C16H30O2","4-(Prop-2-enoyloxy)pentadecane","94.71","107614","1000245675","C18H34O2","4-(Prop-2-enoyloxy)tetradecane","94.70"," 98673","1000245672","C17H32O2","4-(Prop-2-enoyloxy)tridecane","94.70"," 89796","1000245669","C16H30O2","2-Ethylhexyl acrylate","94.33"," 43117","103117","C11H20O2","3-(Prop-2-enoyloxy)tetradecane","94.27"," 98672","1000245671","C17H32O2","Oxalic acid, cyclobutyl octyl ester","94.26"," 90854","1000309699","C14H24O4",0,0,0,0,0
