unique_name,sample,date,plantsp,bee,species,choice,plant,treatment,trytolegit,robbed,timetorob,timefeeding,flower#,notes,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,3.43,19.77,1,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,0.97,13.37,2,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,0.92,14.49,3,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,4.8,1.49,4,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,3.86,6.71,5,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,0.72,7.69,6,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,no,yes,1.27,0.87,7,,,
Jul-28_corydalis_1_bifarius,CORYBIF039,Jul-28,corydalis,1,bifarius,yes,2,mreu,yes,no,na,na,8,,,
Jul-28_corydalis_2_flavifrons,CORYFLAV034,Jul-28,corydalis,2,flavifrons,no,no,na,na,na,na,na,na,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,1.78,10.86,1,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,1.07,18.59,2,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,1.82,15.48,3,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,0.86,4.06,4,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,1.99,6.35,5,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,0.89,1.75,6,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,no,yes,0.88,1.44,7,,,
Jul-28_corydalis_3_bifarius,CORYBIF040,Jul-28,corydalis,3,bifarius,yes,2,mreu,yes,yes,1.19,18.43,8,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,1,mreu,no,yes,1.27,1.32,2,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,2,mreu,no,yes,1.14,19.13,3,,,
Jul-28_corydalis_4_flavifrons,CORYFLAV037,Jul-28,corydalis,4,flavifrons,yes,2,mreu,no,yes,1.25,14.44,4,,,
