Insect_number,Yeast_time,Control_time,Initial_Choice,Total_time,Yeast_Proportion,Control_Proportion
1,83,15,C,98,0.846938776,0.153061224
23,50,79,C,129,0.387596899,0.612403101
3,40,98,C,138,0.289855072,0.710144928
14,127,20,C,147,0.863945578,0.136054422
2,99,60,C,159,0.622641509,0.377358491
15,63,141,C,204,0.308823529,0.691176471
20,73,143,C,216,0.337962963,0.662037037
21,165,74,C,239,0.690376569,0.309623431
19,44,200,C,244,0.180327869,0.819672131
4,64,15,T,79,0.810126582,0.189873418
8,103,0,T,103,1,0
18,104,33,T,137,0.759124088,0.240875912
17,89,53,T,142,0.626760563,0.373239437
5,151,0,T,151,1,0
9,128,75,T,203,0.630541872,0.369458128
10,130,76,T,206,0.631067961,0.368932039
11,148,63,T,211,0.701421801,0.298578199
6,170,42,T,212,0.801886792,0.198113208
12,158,58,T,216,0.731481481,0.268518519
22,135,82,T,217,0.622119816,0.377880184
7,233,0,T,233,1,0
16,101,139,T,240,0.420833333,0.579166667
